,Class,Age,Sex,target
53,0.0214,-0.228,0.521,-1.0
54,0.965,-0.228,0.521,-1.0
55,0.965,-0.228,0.521,-1.0
56,0.0214,-0.228,-1.92,1.0
57,0.0214,-0.228,0.521,-1.0
58,-0.9229999999999999,-0.228,-1.92,-1.0
59,0.0214,-0.228,0.521,-1.0
60,0.0214,-0.228,0.521,-1.0
61,0.0214,4.38,0.521,1.0
62,0.0214,-0.228,0.521,-1.0
63,0.0214,-0.228,0.521,-1.0
64,0.0214,-0.228,0.521,-1.0
65,-1.87,-0.228,0.521,-1.0
66,0.0214,-0.228,-1.92,1.0
67,-0.9229999999999999,-0.228,0.521,-1.0
68,0.965,-0.228,0.521,-1.0
69,0.0214,-0.228,0.521,-1.0
70,-1.87,-0.228,0.521,1.0
71,-1.87,-0.228,0.521,-1.0
72,0.0214,-0.228,-1.92,1.0
73,0.965,-0.228,0.521,-1.0
74,0.0214,-0.228,-1.92,-1.0
75,0.0214,-0.228,0.521,-1.0
76,-1.87,-0.228,-1.92,1.0
77,0.0214,-0.228,0.521,-1.0
78,0.965,-0.228,0.521,1.0
79,0.0214,-0.228,0.521,-1.0
80,-1.87,-0.228,-1.92,1.0
81,0.0214,-0.228,0.521,-1.0
82,0.965,-0.228,0.521,-1.0
83,0.965,-0.228,0.521,-1.0
84,0.965,-0.228,0.521,-1.0
85,0.965,-0.228,0.521,-1.0
86,0.0214,-0.228,0.521,1.0
87,0.965,-0.228,-1.92,1.0
88,0.0214,-0.228,-1.92,1.0
89,0.965,-0.228,0.521,1.0
90,0.965,-0.228,0.521,-1.0
91,-1.87,-0.228,0.521,-1.0
92,0.965,-0.228,0.521,-1.0
93,-1.87,-0.228,-1.92,1.0
94,-0.9229999999999999,-0.228,-1.92,1.0
95,0.965,-0.228,0.521,1.0
96,-0.9229999999999999,-0.228,0.521,-1.0
97,0.965,-0.228,0.521,-1.0
98,0.965,-0.228,0.521,-1.0
99,0.965,-0.228,0.521,-1.0
100,0.0214,-0.228,0.521,-1.0
101,0.0214,-0.228,0.521,-1.0
102,0.0214,4.38,0.521,-1.0
103,0.0214,-0.228,0.521,1.0
104,0.965,-0.228,0.521,-1.0
105,0.965,-0.228,0.521,-1.0
106,0.0214,-0.228,0.521,-1.0
107,-1.87,-0.228,0.521,-1.0
108,-1.87,-0.228,0.521,1.0
109,0.0214,-0.228,-1.92,-1.0
110,-1.87,-0.228,-1.92,1.0
111,0.0214,-0.228,0.521,-1.0
112,-1.87,-0.228,-1.92,1.0
113,-1.87,-0.228,0.521,1.0
114,0.965,-0.228,0.521,-1.0
115,0.0214,-0.228,0.521,-1.0
116,0.965,-0.228,0.521,-1.0
117,0.965,-0.228,0.521,1.0
118,0.965,-0.228,0.521,-1.0
119,0.0214,4.38,0.521,-1.0
120,-0.9229999999999999,-0.228,0.521,-1.0
121,0.965,-0.228,0.521,-1.0
122,0.965,-0.228,0.521,-1.0
123,-1.87,-0.228,-1.92,1.0
124,0.0214,-0.228,0.521,-1.0
125,0.965,-0.228,0.521,1.0
126,-0.9229999999999999,4.38,0.521,1.0
127,0.0214,-0.228,0.521,-1.0
128,0.965,-0.228,0.521,-1.0
129,0.0214,-0.228,0.521,-1.0
130,0.0214,-0.228,-1.92,-1.0
131,-1.87,-0.228,0.521,1.0
132,0.0214,-0.228,0.521,-1.0
133,0.0214,-0.228,0.521,-1.0
134,0.965,-0.228,0.521,-1.0
135,0.965,-0.228,0.521,1.0
136,0.0214,-0.228,-1.92,1.0
137,-1.87,-0.228,-1.92,1.0
138,0.965,-0.228,0.521,-1.0
139,-1.87,-0.228,0.521,-1.0
140,0.965,-0.228,0.521,-1.0
141,-0.9229999999999999,-0.228,-1.92,-1.0
142,0.0214,-0.228,0.521,-1.0
143,0.965,-0.228,0.521,1.0
144,0.0214,4.38,0.521,-1.0
145,0.965,-0.228,0.521,1.0
146,0.0214,-0.228,0.521,-1.0
147,0.0214,-0.228,0.521,-1.0
148,-1.87,-0.228,0.521,1.0
149,-1.87,-0.228,0.521,-1.0
150,0.0214,-0.228,0.521,-1.0
151,0.0214,-0.228,0.521,-1.0
152,-0.9229999999999999,-0.228,-1.92,1.0
153,0.0214,-0.228,0.521,1.0
154,-0.9229999999999999,-0.228,-1.92,1.0
155,0.0214,-0.228,0.521,-1.0
156,0.0214,-0.228,0.521,-1.0
157,0.0214,-0.228,0.521,-1.0
158,0.965,-0.228,0.521,1.0
159,0.0214,-0.228,0.521,-1.0
160,-0.9229999999999999,-0.228,0.521,-1.0
161,0.0214,4.38,-1.92,1.0
162,0.965,-0.228,0.521,-1.0
163,0.965,-0.228,0.521,-1.0
164,0.0214,4.38,0.521,-1.0
165,0.965,-0.228,0.521,-1.0
166,0.0214,-0.228,0.521,-1.0
167,0.0214,-0.228,-1.92,1.0
168,-0.9229999999999999,4.38,-1.92,1.0
169,-1.87,-0.228,0.521,-1.0
170,0.0214,-0.228,0.521,-1.0
171,0.0214,4.38,0.521,-1.0
172,0.965,-0.228,0.521,-1.0
173,0.965,-0.228,0.521,1.0
174,0.965,-0.228,0.521,-1.0
175,0.965,-0.228,0.521,-1.0
176,0.0214,-0.228,-1.92,1.0
177,0.965,-0.228,0.521,-1.0
178,0.0214,-0.228,0.521,-1.0
179,0.0214,-0.228,0.521,-1.0
180,0.0214,-0.228,0.521,-1.0
181,-1.87,-0.228,0.521,-1.0
182,0.0214,-0.228,0.521,-1.0
183,-1.87,-0.228,-1.92,1.0
184,-1.87,-0.228,-1.92,1.0
185,0.965,-0.228,0.521,-1.0
186,-1.87,-0.228,0.521,-1.0
187,0.965,-0.228,0.521,-1.0
188,0.0214,-0.228,-1.92,-1.0
189,0.965,-0.228,0.521,-1.0
190,0.0214,-0.228,0.521,-1.0
191,-0.9229999999999999,-0.228,0.521,-1.0
192,-1.87,-0.228,-1.92,1.0
193,-0.9229999999999999,-0.228,-1.92,1.0
194,0.965,-0.228,0.521,-1.0
195,0.0214,4.38,-1.92,1.0
196,0.0214,-0.228,0.521,-1.0
197,-1.87,-0.228,-1.92,1.0
198,0.965,-0.228,0.521,-1.0
199,0.0214,-0.228,0.521,-1.0
200,0.0214,-0.228,0.521,-1.0
201,0.965,-0.228,0.521,-1.0
202,0.965,-0.228,0.521,1.0
203,0.965,-0.228,0.521,1.0
204,0.0214,4.38,0.521,-1.0
205,0.965,-0.228,0.521,1.0
206,0.0214,4.38,0.521,-1.0
207,-0.9229999999999999,-0.228,0.521,-1.0
208,0.965,-0.228,0.521,-1.0
209,0.965,-0.228,0.521,-1.0
210,0.965,-0.228,0.521,-1.0
211,-0.9229999999999999,-0.228,-1.92,1.0
212,0.965,-0.228,0.521,-1.0
213,0.965,-0.228,0.521,1.0
214,-1.87,-0.228,-1.92,1.0
215,0.965,-0.228,0.521,1.0
216,0.0214,-0.228,0.521,-1.0
217,0.0214,-0.228,-1.92,-1.0
218,0.0214,-0.228,0.521,-1.0
219,0.965,-0.228,0.521,-1.0
220,0.965,-0.228,0.521,-1.0
221,0.965,-0.228,0.521,-1.0
222,0.0214,-0.228,-1.92,1.0
223,-1.87,-0.228,-1.92,1.0
224,-0.9229999999999999,-0.228,-1.92,1.0
225,-1.87,-0.228,0.521,-1.0
226,0.0214,-0.228,0.521,-1.0
227,-0.9229999999999999,4.38,0.521,1.0
228,0.965,-0.228,0.521,1.0
229,-0.9229999999999999,-0.228,0.521,-1.0
230,0.0214,-0.228,0.521,1.0
231,0.0214,-0.228,0.521,-1.0
232,0.965,-0.228,0.521,1.0
233,0.0214,-0.228,0.521,-1.0
234,0.965,-0.228,0.521,-1.0
235,0.965,-0.228,0.521,1.0
236,0.0214,-0.228,0.521,-1.0
237,0.965,-0.228,0.521,1.0
238,0.965,-0.228,0.521,-1.0
239,0.0214,-0.228,0.521,-1.0
240,0.0214,-0.228,0.521,-1.0
241,0.0214,-0.228,0.521,1.0
242,0.0214,-0.228,-1.92,1.0
243,0.0214,-0.228,-1.92,1.0
244,0.965,-0.228,0.521,-1.0
245,0.0214,-0.228,-1.92,-1.0
246,0.0214,-0.228,-1.92,-1.0
247,0.965,-0.228,0.521,-1.0
248,-1.87,-0.228,0.521,-1.0
249,0.965,-0.228,0.521,-1.0
250,-1.87,-0.228,0.521,-1.0
251,0.965,-0.228,0.521,-1.0
252,0.0214,-0.228,-1.92,-1.0
253,0.965,-0.228,0.521,-1.0
254,0.965,-0.228,0.521,-1.0
255,0.0214,-0.228,-1.92,1.0
256,0.965,-0.228,0.521,1.0
257,0.0214,-0.228,0.521,1.0
258,0.965,-0.228,0.521,-1.0
259,0.965,-0.228,0.521,1.0
260,0.965,-0.228,0.521,-1.0
261,0.965,-0.228,0.521,1.0
262,0.965,-0.228,0.521,-1.0
263,-1.87,-0.228,-1.92,1.0
264,0.965,-0.228,0.521,-1.0
265,0.965,-0.228,0.521,-1.0
266,0.0214,4.38,-1.92,1.0
267,0.0214,-0.228,-1.92,-1.0
268,0.965,-0.228,0.521,-1.0
269,0.965,-0.228,0.521,1.0
270,0.965,-0.228,0.521,-1.0
271,0.0214,-0.228,-1.92,1.0
272,-1.87,-0.228,-1.92,1.0
273,-0.9229999999999999,-0.228,0.521,-1.0
274,0.965,-0.228,0.521,-1.0
275,0.0214,-0.228,0.521,-1.0
276,-0.9229999999999999,-0.228,0.521,-1.0
277,-1.87,-0.228,0.521,-1.0
278,0.965,-0.228,0.521,-1.0
279,-0.9229999999999999,-0.228,0.521,-1.0
280,0.0214,-0.228,0.521,1.0
281,0.965,-0.228,0.521,1.0
282,0.965,-0.228,0.521,1.0
283,0.0214,-0.228,0.521,1.0
284,0.0214,-0.228,0.521,-1.0
285,0.965,-0.228,-1.92,1.0
286,0.965,-0.228,0.521,-1.0
287,-1.87,-0.228,0.521,1.0
288,0.965,-0.228,0.521,-1.0
289,-0.9229999999999999,-0.228,0.521,-1.0
290,0.965,-0.228,0.521,-1.0
291,0.965,-0.228,0.521,-1.0
292,0.965,-0.228,0.521,-1.0
293,-0.9229999999999999,-0.228,-1.92,1.0
294,0.965,-0.228,0.521,-1.0
295,-0.9229999999999999,4.38,0.521,1.0
296,0.965,-0.228,0.521,1.0
297,0.965,-0.228,0.521,-1.0
298,-0.9229999999999999,-0.228,-1.92,1.0
299,0.965,-0.228,0.521,-1.0
300,0.0214,-0.228,0.521,-1.0
301,0.0214,4.38,-1.92,1.0
302,0.0214,-0.228,0.521,1.0
303,0.965,-0.228,0.521,1.0
304,-1.87,4.38,-1.92,1.0
305,0.0214,-0.228,0.521,-1.0
306,0.0214,-0.228,-1.92,1.0
307,0.965,-0.228,0.521,-1.0
308,0.0214,-0.228,0.521,-1.0
309,0.965,-0.228,0.521,-1.0
310,0.0214,-0.228,0.521,-1.0
311,0.0214,-0.228,0.521,-1.0
312,0.0214,-0.228,-1.92,1.0
313,0.0214,-0.228,0.521,-1.0
314,-1.87,-0.228,0.521,-1.0
315,0.965,-0.228,0.521,-1.0
316,0.0214,-0.228,-1.92,1.0
317,0.0214,-0.228,0.521,-1.0
318,0.965,-0.228,0.521,-1.0
319,0.965,-0.228,0.521,-1.0
320,0.965,-0.228,0.521,-1.0
321,0.965,-0.228,0.521,1.0
322,0.0214,-0.228,0.521,1.0
323,-0.9229999999999999,-0.228,0.521,-1.0
324,-1.87,-0.228,-1.92,1.0
325,0.965,-0.228,0.521,-1.0
326,-0.9229999999999999,-0.228,-1.92,1.0
327,-1.87,-0.228,-1.92,1.0
328,0.965,-0.228,0.521,-1.0
329,0.965,-0.228,0.521,-1.0
330,0.965,-0.228,0.521,-1.0
331,0.0214,-0.228,0.521,-1.0
332,-1.87,-0.228,0.521,-1.0
333,-1.87,-0.228,0.521,-1.0
334,0.965,-0.228,0.521,-1.0
335,0.0214,-0.228,0.521,-1.0
336,0.965,-0.228,0.521,-1.0
337,-1.87,-0.228,0.521,-1.0
338,0.965,-0.228,0.521,-1.0
339,-1.87,-0.228,-1.92,1.0
340,0.965,-0.228,0.521,-1.0
341,0.0214,-0.228,0.521,-1.0
342,-1.87,-0.228,0.521,-1.0
343,0.0214,-0.228,-1.92,1.0
344,0.965,-0.228,0.521,-1.0
345,0.965,-0.228,0.521,-1.0
346,-0.9229999999999999,-0.228,0.521,-1.0
347,0.0214,-0.228,0.521,1.0
348,-0.9229999999999999,-0.228,-1.92,1.0
349,0.0214,-0.228,0.521,-1.0
350,0.965,-0.228,0.521,1.0
351,0.965,-0.228,0.521,1.0
352,0.0214,4.38,-1.92,-1.0
353,0.0214,-0.228,0.521,-1.0
354,0.0214,-0.228,0.521,-1.0
355,-1.87,-0.228,-1.92,1.0
356,0.965,-0.228,0.521,1.0
357,0.965,-0.228,0.521,-1.0
358,0.965,-0.228,0.521,-1.0
359,0.965,-0.228,0.521,-1.0
360,-0.9229999999999999,-0.228,0.521,1.0
361,-0.9229999999999999,-0.228,0.521,1.0
362,0.0214,-0.228,-1.92,-1.0
363,0.965,-0.228,0.521,-1.0
364,-0.9229999999999999,-0.228,0.521,-1.0
365,0.0214,-0.228,0.521,-1.0
366,0.965,-0.228,0.521,1.0
367,0.0214,-0.228,-1.92,-1.0
368,0.0214,-0.228,0.521,1.0
369,0.965,-0.228,0.521,-1.0
370,0.965,-0.228,0.521,-1.0
371,0.965,-0.228,0.521,1.0
372,0.965,-0.228,0.521,-1.0
373,0.0214,-0.228,0.521,-1.0
374,0.0214,-0.228,0.521,-1.0
375,0.965,-0.228,0.521,-1.0
376,0.0214,-0.228,0.521,-1.0
377,-0.9229999999999999,-0.228,0.521,-1.0
378,0.0214,-0.228,-1.92,1.0
379,0.965,-0.228,0.521,-1.0
380,-0.9229999999999999,-0.228,-1.92,1.0
381,-0.9229999999999999,-0.228,-1.92,1.0
382,0.965,-0.228,0.521,-1.0
383,0.0214,-0.228,0.521,-1.0
384,0.0214,-0.228,0.521,1.0
385,0.0214,-0.228,0.521,-1.0
386,0.965,-0.228,0.521,-1.0
387,0.965,-0.228,0.521,-1.0
388,0.965,-0.228,0.521,-1.0
389,-0.9229999999999999,4.38,0.521,1.0
390,0.0214,-0.228,-1.92,1.0
391,0.965,-0.228,0.521,-1.0
392,-0.9229999999999999,-0.228,-1.92,1.0
393,0.0214,-0.228,0.521,-1.0
394,-1.87,-0.228,0.521,1.0
395,0.0214,-0.228,0.521,-1.0
396,-1.87,-0.228,-1.92,1.0
397,0.0214,-0.228,-1.92,-1.0
398,0.0214,-0.228,-1.92,-1.0
399,0.965,-0.228,0.521,-1.0
400,0.965,-0.228,0.521,-1.0
401,0.0214,-0.228,-1.92,-1.0
402,0.965,-0.228,0.521,-1.0
403,-0.9229999999999999,-0.228,0.521,-1.0
404,0.965,-0.228,0.521,-1.0
405,-1.87,-0.228,-1.92,1.0
406,0.965,-0.228,0.521,-1.0
407,0.0214,-0.228,0.521,-1.0
408,-0.9229999999999999,-0.228,0.521,-1.0
409,-1.87,-0.228,0.521,-1.0
410,0.965,-0.228,0.521,-1.0
411,0.965,-0.228,0.521,-1.0
412,-1.87,-0.228,0.521,-1.0
413,-1.87,-0.228,-1.92,1.0
414,0.965,-0.228,0.521,-1.0
415,-0.9229999999999999,-0.228,0.521,-1.0
416,0.0214,-0.228,-1.92,-1.0
417,-0.9229999999999999,-0.228,0.521,-1.0
418,0.0214,-0.228,0.521,1.0
419,0.0214,-0.228,-1.92,1.0
420,0.0214,-0.228,0.521,-1.0
421,-0.9229999999999999,4.38,0.521,1.0
422,-1.87,-0.228,0.521,-1.0
423,0.0214,-0.228,0.521,-1.0
424,0.0214,-0.228,0.521,-1.0
425,0.965,-0.228,0.521,1.0
426,0.965,-0.228,0.521,1.0
427,0.965,-0.228,0.521,-1.0
428,-0.9229999999999999,-0.228,0.521,-1.0
429,0.0214,-0.228,0.521,-1.0
430,0.965,-0.228,0.521,-1.0
431,0.0214,-0.228,0.521,-1.0
432,0.0214,-0.228,-1.92,1.0
433,-1.87,-0.228,0.521,-1.0
434,-1.87,-0.228,0.521,-1.0
435,-1.87,-0.228,0.521,-1.0
436,0.965,-0.228,0.521,-1.0
437,0.965,-0.228,0.521,-1.0
438,0.965,-0.228,0.521,-1.0
439,-1.87,-0.228,-1.92,1.0
440,0.965,-0.228,0.521,-1.0
441,-1.87,-0.228,-1.92,1.0
442,0.965,-0.228,0.521,-1.0
443,0.965,-0.228,0.521,1.0
444,0.965,-0.228,0.521,1.0
445,0.965,-0.228,0.521,-1.0
446,0.965,-0.228,0.521,-1.0
447,0.965,-0.228,0.521,-1.0
448,0.0214,-0.228,0.521,-1.0
449,0.965,-0.228,-1.92,1.0
450,0.965,-0.228,0.521,-1.0
451,-0.9229999999999999,-0.228,0.521,-1.0
452,-0.9229999999999999,-0.228,0.521,-1.0
453,0.965,-0.228,0.521,-1.0
454,-1.87,-0.228,0.521,1.0
455,-1.87,-0.228,0.521,-1.0
456,0.965,-0.228,0.521,1.0
457,0.965,-0.228,0.521,-1.0
458,0.0214,-0.228,0.521,-1.0
459,-1.87,-0.228,-1.92,1.0
460,0.0214,-0.228,0.521,-1.0
461,0.965,-0.228,0.521,-1.0
462,0.965,-0.228,0.521,-1.0
463,0.965,-0.228,0.521,-1.0
464,0.965,-0.228,0.521,-1.0
465,0.0214,-0.228,0.521,-1.0
466,0.0214,-0.228,0.521,-1.0
467,0.965,-0.228,0.521,-1.0
468,-1.87,-0.228,0.521,-1.0
469,0.965,-0.228,0.521,-1.0
470,0.0214,-0.228,0.521,-1.0
471,-0.9229999999999999,4.38,0.521,1.0
472,0.0214,-0.228,0.521,1.0
473,-0.9229999999999999,-0.228,-1.92,-1.0
474,-1.87,-0.228,0.521,1.0
475,-1.87,-0.228,-1.92,-1.0
476,0.0214,-0.228,0.521,-1.0
477,0.965,-0.228,0.521,-1.0
478,0.0214,-0.228,-1.92,1.0
479,0.0214,4.38,-1.92,-1.0
480,-0.9229999999999999,-0.228,0.521,-1.0
481,0.0214,-0.228,0.521,-1.0
482,-1.87,-0.228,-1.92,1.0
483,-0.9229999999999999,4.38,-1.92,1.0
484,-1.87,-0.228,0.521,-1.0
485,0.0214,-0.228,-1.92,-1.0
486,0.965,-0.228,0.521,1.0
487,-0.9229999999999999,-0.228,0.521,-1.0
488,0.965,-0.228,0.521,1.0
489,0.0214,-0.228,0.521,-1.0
490,0.0214,-0.228,0.521,-1.0
491,0.965,-0.228,0.521,1.0
492,-1.87,-0.228,-1.92,1.0
493,0.0214,-0.228,0.521,-1.0
494,0.0214,-0.228,-1.92,1.0
495,-0.9229999999999999,-0.228,0.521,1.0
496,0.0214,-0.228,0.521,-1.0
497,0.0214,-0.228,0.521,-1.0
498,0.965,-0.228,0.521,-1.0
499,0.0214,-0.228,0.521,1.0
500,0.0214,-0.228,0.521,-1.0
501,0.965,-0.228,0.521,-1.0
502,0.0214,-0.228,-1.92,-1.0
503,0.965,-0.228,0.521,1.0
504,0.965,-0.228,0.521,-1.0
505,0.965,-0.228,0.521,-1.0
506,0.965,-0.228,0.521,-1.0
507,-1.87,-0.228,0.521,1.0
508,-0.9229999999999999,-0.228,0.521,-1.0
509,0.0214,4.38,0.521,-1.0
510,0.965,-0.228,0.521,-1.0
511,0.965,-0.228,0.521,1.0
512,0.965,-0.228,0.521,1.0
513,0.965,-0.228,0.521,-1.0
514,0.965,-0.228,0.521,-1.0
515,-0.9229999999999999,-0.228,0.521,-1.0
516,0.965,-0.228,0.521,-1.0
517,0.0214,-0.228,0.521,-1.0
518,0.965,-0.228,0.521,-1.0
519,-0.9229999999999999,-0.228,-1.92,1.0
520,0.965,-0.228,0.521,1.0
521,0.965,-0.228,0.521,-1.0
522,-0.9229999999999999,-0.228,0.521,-1.0
523,-1.87,-0.228,-1.92,1.0
524,0.0214,-0.228,0.521,-1.0
525,-1.87,-0.228,-1.92,1.0
526,0.965,-0.228,0.521,1.0
527,-1.87,-0.228,-1.92,1.0
528,0.965,-0.228,0.521,-1.0
529,0.0214,-0.228,0.521,-1.0
530,-0.9229999999999999,-0.228,-1.92,1.0
531,-1.87,-0.228,-1.92,1.0
532,0.965,-0.228,0.521,-1.0
533,0.965,-0.228,0.521,-1.0
534,-0.9229999999999999,-0.228,0.521,-1.0
535,0.0214,-0.228,-1.92,1.0
536,0.965,-0.228,0.521,1.0
537,0.965,-0.228,0.521,-1.0
538,-1.87,-0.228,0.521,1.0
539,0.965,-0.228,0.521,-1.0
540,-0.9229999999999999,-0.228,0.521,-1.0
541,-1.87,-0.228,0.521,-1.0
542,-0.9229999999999999,-0.228,-1.92,1.0
543,0.0214,-0.228,-1.92,1.0
544,0.965,-0.228,0.521,-1.0
545,0.965,-0.228,0.521,-1.0
546,0.965,-0.228,0.521,-1.0
547,-0.9229999999999999,-0.228,0.521,-1.0
548,-1.87,-0.228,0.521,1.0
549,0.0214,-0.228,0.521,-1.0
550,0.0214,-0.228,0.521,-1.0
551,0.0214,-0.228,-1.92,-1.0
552,-0.9229999999999999,-0.228,0.521,-1.0
553,0.965,-0.228,0.521,-1.0
554,0.0214,-0.228,0.521,-1.0
555,0.0214,-0.228,-1.92,-1.0
556,0.965,-0.228,0.521,-1.0
557,-0.9229999999999999,-0.228,-1.92,1.0
558,0.965,-0.228,0.521,-1.0
559,0.965,-0.228,0.521,-1.0
560,0.965,-0.228,0.521,1.0
561,-1.87,-0.228,-1.92,1.0
562,0.0214,-0.228,0.521,-1.0
563,0.0214,4.38,-1.92,-1.0
564,0.965,-0.228,0.521,-1.0
565,0.965,-0.228,0.521,-1.0
566,-0.9229999999999999,-0.228,-1.92,1.0
567,-1.87,-0.228,-1.92,1.0
568,0.965,-0.228,0.521,-1.0
569,-0.9229999999999999,-0.228,-1.92,1.0
570,0.0214,-0.228,-1.92,-1.0
571,-1.87,-0.228,-1.92,1.0
572,0.0214,-0.228,0.521,-1.0
573,0.0214,4.38,-1.92,-1.0
574,0.0214,-0.228,-1.92,-1.0
575,-0.9229999999999999,-0.228,-1.92,1.0
576,-0.9229999999999999,-0.228,0.521,1.0
577,-1.87,-0.228,-1.92,1.0
578,0.965,-0.228,0.521,1.0
579,0.0214,-0.228,-1.92,1.0
580,-0.9229999999999999,-0.228,0.521,-1.0
581,0.0214,-0.228,-1.92,1.0
582,-1.87,-0.228,-1.92,1.0
583,0.965,-0.228,0.521,-1.0
584,-0.9229999999999999,-0.228,0.521,1.0
585,0.0214,4.38,-1.92,1.0
586,-1.87,-0.228,0.521,1.0
587,-0.9229999999999999,-0.228,0.521,-1.0
588,0.0214,-0.228,0.521,-1.0
589,0.965,-0.228,0.521,-1.0
590,0.965,-0.228,0.521,-1.0
591,0.0214,-0.228,-1.92,1.0
592,0.965,-0.228,0.521,1.0
593,0.965,-0.228,0.521,-1.0
594,0.965,-0.228,0.521,-1.0
595,-1.87,-0.228,0.521,-1.0
596,-0.9229999999999999,-0.228,0.521,-1.0
597,0.965,-0.228,0.521,-1.0
598,0.965,-0.228,0.521,-1.0
599,0.0214,-0.228,0.521,-1.0
600,-1.87,-0.228,0.521,-1.0
601,0.965,-0.228,0.521,-1.0
602,0.0214,-0.228,-1.92,-1.0
603,0.965,-0.228,0.521,-1.0
604,-1.87,-0.228,0.521,1.0
605,0.0214,-0.228,0.521,-1.0
606,0.965,-0.228,0.521,-1.0
607,-1.87,-0.228,0.521,1.0
608,0.0214,4.38,-1.92,-1.0
609,0.0214,4.38,0.521,-1.0
610,0.965,-0.228,0.521,-1.0
611,0.965,-0.228,0.521,-1.0
612,0.0214,-0.228,-1.92,-1.0
613,0.0214,-0.228,0.521,-1.0
614,-0.9229999999999999,-0.228,0.521,-1.0
615,-1.87,-0.228,-1.92,1.0
616,0.0214,-0.228,-1.92,-1.0
617,-1.87,-0.228,0.521,-1.0
618,-1.87,-0.228,0.521,1.0
619,-1.87,-0.228,-1.92,1.0
620,0.965,-0.228,0.521,1.0
621,0.0214,-0.228,0.521,-1.0
622,0.965,-0.228,0.521,-1.0
623,0.965,-0.228,0.521,-1.0
624,0.965,-0.228,-1.92,1.0
625,0.0214,-0.228,0.521,-1.0
626,-1.87,-0.228,0.521,-1.0
627,-0.9229999999999999,-0.228,0.521,-1.0
628,0.965,-0.228,-1.92,1.0
629,-1.87,-0.228,-1.92,1.0
630,-1.87,-0.228,0.521,-1.0
631,0.965,-0.228,0.521,-1.0
632,0.965,-0.228,0.521,-1.0
633,0.0214,-0.228,0.521,1.0
634,0.0214,-0.228,0.521,1.0
635,0.0214,-0.228,-1.92,-1.0
636,-0.9229999999999999,-0.228,0.521,-1.0
637,0.0214,-0.228,0.521,-1.0
638,0.965,-0.228,0.521,-1.0
639,-0.9229999999999999,-0.228,-1.92,1.0
640,0.965,-0.228,0.521,-1.0
641,0.965,-0.228,0.521,-1.0
642,0.965,-0.228,0.521,-1.0
643,-0.9229999999999999,-0.228,-1.92,1.0
644,-0.9229999999999999,-0.228,-1.92,1.0
645,-1.87,-0.228,-1.92,1.0
646,0.965,-0.228,0.521,-1.0
647,0.965,-0.228,0.521,-1.0
648,-0.9229999999999999,-0.228,0.521,-1.0
649,0.0214,-0.228,0.521,-1.0
650,0.0214,-0.228,0.521,-1.0
651,-1.87,-0.228,-1.92,1.0
652,0.965,-0.228,0.521,-1.0
653,0.965,-0.228,0.521,-1.0
654,0.0214,-0.228,-1.92,1.0
655,0.965,-0.228,0.521,1.0
656,-0.9229999999999999,-0.228,-1.92,1.0
657,-1.87,-0.228,0.521,1.0
658,0.0214,-0.228,-1.92,-1.0
659,-0.9229999999999999,-0.228,0.521,-1.0
660,0.965,-0.228,0.521,1.0
